Country,Code,Year,GDP per capita,"Alcohol Consuption, liters per capita"
Afghanistan,AFG,2002,179.4265792,0.01
Afghanistan,AFG,2003,190.6838143,0.01
Afghanistan,AFG,2004,211.3820742,0.02
Afghanistan,AFG,2005,242.0313132,0.02
Afghanistan,AFG,2006,263.7336019,0.03
Afghanistan,AFG,2007,359.6931579,0.02
Afghanistan,AFG,2008,364.663542,0.03
Afghanistan,AFG,2009,437.2687402,0.01
Afghanistan,AFG,2010,543.3065262,0.01
Afghanistan,AFG,2011,591.1900302,0.01
Afghanistan,AFG,2012,638.8458516,0.01
Afghanistan,AFG,2013,624.3154545,0.01
Afghanistan,AFG,2014,614.2233424,0.01
Afghanistan,AFG,2015,556.0072209,0.01
Albania,ALB,2000,1126.68334,3.66
Albania,ALB,2001,1281.659826,4.25
Albania,ALB,2002,1425.124219,3.73
Albania,ALB,2003,1846.120121,4.29
Albania,ALB,2004,2373.581292,4.54
Albania,ALB,2005,2673.786584,5.16
Albania,ALB,2006,2972.742924,5.31
Albania,ALB,2007,3595.038057,5.58
Albania,ALB,2008,4370.539925,5.61
Albania,ALB,2009,4114.134899,5.79
Albania,ALB,2010,4094.348386,5.28
Albania,ALB,2011,4437.142612,5.37
Albania,ALB,2012,4247.630047,5.14
Albania,ALB,2013,4413.062005,4.76
Albania,ALB,2014,4578.633208,4.51
Albania,ALB,2015,3952.802538,4.6
Algeria,DZA,2000,1765.027146,0.25
Algeria,DZA,2001,1740.606654,0.23
Algeria,DZA,2002,1781.828908,0.36
Algeria,DZA,2003,2103.381291,0.34
Algeria,DZA,2004,2610.185422,0.45
Algeria,DZA,2005,3113.094883,0.5
Algeria,DZA,2006,3478.710002,0.36
Algeria,DZA,2007,3950.512993,0.44
Algeria,DZA,2008,4923.631615,0.46
Algeria,DZA,2009,3883.2709,0.5
Algeria,DZA,2010,4480.786318,0.45
Algeria,DZA,2011,5455.679403,0.56
Algeria,DZA,2012,5592.220115,0.66
Algeria,DZA,2013,5499.587331,0.53
Algeria,DZA,2014,5493.056695,0.01
Angola,AGO,2000,556.8386317,1.85
Angola,AGO,2001,527.3335285,2.58
Angola,AGO,2002,872.4944418,2.82
Angola,AGO,2003,982.9610078,3.49
