Country Name,Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,29847.9283520918,30356.0452745934,33050.9033772923,34051.4928047902,35168.5614695776,36619.588029091,37247.9805023973,33553.8820015977,32625.4926908747,34324.7993588886,33567.5500169846,36829.0327743518,36779.429429343
Africa Eastern and Southern,AFE,2293.76099351977,2350.92077580095,2484.68831498153,2651.03845111364,2837.03348424991,3027.82102501785,3142.99611733141,3109.6051243093,3217.66015856683,3323.27201407332,3237.87065825646,3365.68297673587,3503.69938272761
Afghanistan,AFG,877.01426830392,927.857548047018,925.441429176842,1023.05174932878,1077.76153966077,1228.70386342946,1272.57297477768,1519.69292278438,1710.57541109225,1699.48811019742,1914.77422837964,2015.51477466948,2069.42402167356
Africa Western and Central,AFW,2298.88600746148,2405.56387496919,2596.23409700437,2757.79210148405,2912.19546241924,3066.93398516866,3230.71908428466,3359.36265521762,3532.1429859982,3675.39244102586,3772.32380201759,4013.19652314325,4208.73177986288
Angola,AGO,3785.1503220062,3838.7950524777,4225.4679269176,4837.70982676046,5362.01984289893,6050.61055453052,6607.29163426752,6470.67524420331,6587.98693898257,6710.75062298751,7412.96703464311,7682.47538648506,8179.29782812609
Albania,ALB,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,6566.57282794654,7283.34263812006,8228.34804111345,8813.02946080293,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673
Andorra,AND,,,,,,,,,,,,,
Arab World,ARB,10170.8729320865,10555.9565743035,11579.9547847335,12300.7789619455,13091.0554262895,13694.7742387554,14409.4750172762,14253.9396935192,14749.5521849921,15211.0266008434,16130.5992496832,16083.8093998294,15777.0972221203
United Arab Emirates,ARE,95551.7276379628,99239.9601570956,101872.973588358,97671.629302072,95679.8575342087,87102.97188999,79732.2434989502,68167.5758770941,64882.8503411842,67686.3853798798,69102.4761704654,70374.2353627555,73619.0446557068
Argentina,ARG,10052.4882560869,11025.1860988296,12214.7407113551,13568.7692061284,14951.7289508076,16570.0078336983,17404.0691420333,16334.7408131075,18061.9343589164,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442
Armenia,ARM,3463.98606346213,4043.65506161727,4614.86980387949,5455.43499457867,6411.81964016089,7551.64363563305,8300.49198824733,7233.03992810233,7506.32190855914,8025.4584849173,9364.37529918435,9835.80246091985,10036.8898405952
American Samoa,ASM,,,,,,,,,,,,,
Antigua and Barbuda,ATG,16367.734900892,17458.8837289464,18718.3707760024,20269.690993938,23180.4007139502,25613.5465027525,25690.689492805,22435.3937041743,20611.4457775542,20347.8684831466,19598.0238599601,18797.6263678382,19039.0045029811
Australia,AUS,28768.7286317056,29807.4095606,31407.4614546007,32653.4016208815,34369.6193939212,36599.8507307471,37499.5251319174,40281.799672065,39336.6634845318,42003.1580559752,42836.6718635909,45906.4400399472,46880.8951800484
Austria,AUT,31178.6933297272,32144.2418052358,33773.825776679,35013.7140443423,37662.1851663577,39430.6091682131,41316.225176699,40918.1321224314,42009.4385277438,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985
Azerbaijan,AZE,4163.19998698029,4638.12476816102,5158.39459385476,6737.14620835883,9233.68079666208,11718.5267261314,12956.834046821,13976.1096357098,14677.1648204193,14804.5744507911,15957.7188502849,17188.9455056612,17443.8782563093
Burundi,BDI,554.944847680609,541.763919368898,565.042746654446,569.274971643531,598.507597533049,615.229559660846,636.332024089182,644.105174174961,663.05448953244,681.971621284674,690.687841656639,740.983221098929,777.041241495558
Belgium,BEL,30282.2886450283,30932.8525095624,32063.0803240468,33177.8909458158,35259.1867115805,36791.2004331501,37883.3319417819,37749.5095365743,39840.0881958103,40942.372710454,42290.7620520019,43671.11959259,44929.685593416
Benin,BEN,1894.9988812774,1936.88097220494,2015.63776609052,2052.52885319768,2135.26376995317,2258.49268078074,2347.92432443978,2353.63289269548,2364.11963636531,2416.32736232359,2498.4957725647,2669.68821953416,2833.41275279485
Burkina Faso,BFA,1005.42999058038,1072.46713586937,1117.46483140297,1215.57325780426,1291.48579644952,1339.73764860948,1401.95772721559,1411.12752844523,1502.10404736947,1586.57116112236,1619.39942588838,1683.10583320456,1692.30324218467
Bangladesh,BGD,1453.26225725918,1523.79747808748,1620.42505311916,1753.87460797871,1901.71670067808,2065.15477333591,2206.51037075368,2309.56363735967,2439.06962718124,2620.83379040874,2937.6287981042,3143.58550275239,3368.05616403141
Bulgaria,BGR,7786.4484224601,8416.98366742999,9201.50412778876,10291.4377739545,11408.1180610219,12811.3587714533,14335.7146000831,14181.1546844467,14956.4871777211,15747.0853813627,16327.8726078533,16647.0063974042,17616.913178474
